,dateFiled,issue,Month,Day,Year
0,2018-03-06,2016 Trump campaign,03,06,2018
1,2018-07-12,2016 Trump campaign,07,12,2018
2,2018-08-21,2016 Trump campaign,08,21,2018
3,2018-04-30,Defamation,04,30,2018
4,2017-11-30,Mueller investigation,11,30,2017
5,2018-08-14,Mueller investigation,08,14,2018
6,2018-11-28,Mueller investigation,11,28,2018
7,2019-01-24,Mueller investigation,01,24,2019
8,2018-10-29,Trump business/foundation,10,29,2018
9,2018-06-14,Trump business/foundation,06,14,2018
10,2017-01-17,Defamation,01,17,2017
11,2018-12-17,Emoluments,12,17,2018
12,2017-06-12,Emoluments,06,12,2017
13,2017-01-23,Emoluments,01,23,2017
14,2017-06-14,Emoluments,06,14,2017
15,2018-10-16,First Amendment,10,16,2018
16,2017-07-11,First Amendment,07,11,2017
17,2016-08-19,Pardons,08,19,2016
18,2018-09-13,Whitaker dispute,09,13,2018
19,2018-11-19,Whitaker dispute,11,19,2018
20,2016-03-15,Whitaker dispute,03,15,2016
21,2019-04-22,Congressional investigation,04,22,2019
22,2018-11-09,Asylum,11,09,2018
23,2018-08-07,Asylum,08,07,2018
24,2019-02-14,Asylum,02,14,2019
25,2017-12-07,Bears Ears,12,07,2017
26,2018-04-03,Census,04,03,2018
27,2018-03-26,Census,03,26,2018
28,2019-05-31,Census,05,31,2019
29,2017-09-08,DACA,09,08,2017
30,2016-08-25,DACA,08,25,2016
31,2017-08-05,DACA,08,05,2017
32,2017-09-18,DACA,09,18,2017
33,2018-05-01,DACA,05,01,2018
34,2017-10-30,Mueller investigation,10,30,2017
35,2019-02-15,National emergency declaration,02,15,2019
36,2019-02-18,National emergency declaration,02,18,2019
37,2019-02-15,National emergency declaration,02,15,2019
38,2019-02-16,National emergency declaration,02,16,2019
39,2019-04-05,National emergency declaration,04,05,2019
40,2018-06-27,National security tariffs,06,27,2018
41,2018-07-16,Sanctuary cities,07,16,2018
42,2017-08-30,Sanctuary cities,08,30,2017
43,2018-10-12,Sanctuary cities,10,12,2018
44,2017-09-29,Sanctuary cities,09,29,2017
45,2018-08-22,Sanctuary cities,08,22,2018
46,2018-07-18,Sanctuary cities,07,18,2018
47,2018-03-09,Sanctuary laws,03,09,2018
48,2018-03-15,TPS revocation,03,15,2018
49,2018-03-12,TPS revocation,03,12,2018
50,2017-08-09,Transgender military ban,08,09,2017
51,2017-08-28,Transgender military ban,08,28,2017
52,2017-08-28,Transgender military ban,08,28,2017
53,2017-09-05,Transgender military ban,09,05,2017
54,2019-04-29,Congressional investigation,04,29,2019
55,2018-02-26,Affordable Care Act,02,26,2018
56,2017-02-07,Travel ban,02,07,2017
